"created_at","device_prop_name","property_value"
2022-09-29 04:23:57.294 +0300,RF'Area07'OS31'RAHU09'RATEMP,29.92
2022-09-29 04:23:57.549 +0300,RF'Area11'OS37'RAHU14'RATEMP,31.359999
2022-09-29 04:23:58.548 +0300,RF'Area08'OS27'RAHU08'RATEMP,26.22
2022-09-29 04:23:59.219 +0300,RF'Area10'OS32'RAHU28'RATEMP,29.98
2022-09-29 04:23:59.917 +0300,RF'Area09'OS30'RAHU11'RATEMP,19.96
2022-09-29 04:24:00.837 +0300,RF'Area02'OS22'RAHU01'RATEMP,31.56
2022-09-29 04:24:01.462 +0300,RF'Area07'OS29'RAHU07'RATEMP,31.76
2022-09-29 04:24:03.529 +0300,RF'Area03'OS24'RAHU03'RATEMP,18.52
2022-09-29 04:24:04.073 +0300,RF'Area02'OS21'RAHU02'RATEMP,29.939999
2022-09-29 04:24:05.716 +0300,RF'Area04'OS26'RAHU05'RATEMP,19.16
2022-09-29 04:24:07.209 +0300,RF'Area08'OS28'RAHU10'RATEMP,32.46
2022-09-29 04:24:20.706 +0300,RF'Area03'OS25'RAHU06'RATEMP,32.7
2022-09-29 04:24:21.990 +0300,RF'Area02'OS23A'RAHU04'RATEMP,29.3
2022-09-29 04:24:32.621 +0300,RF'Area09'OS34'RAHU12'RATEMP,28.68
2022-09-29 04:24:34.295 +0300,RF'Area05'OS36'RAHU13'RATEMP,29.06
2022-09-29 04:25:12.197 +0300,RF'Area07'OS31'RAHU23'RATEMP,25.82
2022-09-29 04:25:14.577 +0300,RF'Area02'OS22'RAHU15'RATEMP,29.76
2022-09-29 04:25:15.114 +0300,RF'Area08'OS27'RAHU22'RATEMP,24.58
2022-09-29 04:25:16.090 +0300,RF'Area09'OS30'RAHU25'RATEMP,26.779999
2022-09-29 04:25:16.481 +0300,RF'Area07'OS29'RAHU21'RATEMP,31.06
2022-09-29 04:25:20.256 +0300,RF'Area03'OS24'RAHU17'RATEMP,27.699999
2022-09-29 04:25:21.011 +0300,RF'Area02'OS21'RAHU16'RATEMP,27.939999
2022-09-29 04:25:22.167 +0300,RF'Area04'OS26'RAHU19'RATEMP,28.359999
2022-09-29 04:25:37.807 +0300,RF'Area03'OS25'RAHU20'RATEMP,0.0
2022-09-29 04:25:38.369 +0300,RF'Area02'OS23A'RAHU18'RATEMP,28.119999
2022-09-29 04:25:38.720 +0300,RF'Area08'OS28'RAHU24'RATEMP,29.099998
2022-09-29 04:25:50.325 +0300,RF'Area05'OS36'RAHU27'RATEMP,26.5
2022-09-29 04:25:50.336 +0300,RF'Area09'OS34A'RAHU26'RATEMP,25.68
2022-09-29 05:51:20.866 +0300,RF'Area07'OS31'RAHU09'RATEMP,29.88
2022-09-29 05:51:21.047 +0300,RF'Area11'OS37'RAHU14'RATEMP,31.22
2022-09-29 05:51:21.976 +0300,RF'Area08'OS27'RAHU08'RATEMP,26.06
2022-09-29 05:51:22.670 +0300,RF'Area10'OS32'RAHU28'RATEMP,29.66
2022-09-29 05:51:23.367 +0300,RF'Area09'OS30'RAHU11'RATEMP,19.98
2022-09-29 05:51:24.290 +0300,RF'Area02'OS22'RAHU01'RATEMP,31.46
2022-09-29 05:51:24.867 +0300,RF'Area07'OS29'RAHU07'RATEMP,31.74
2022-09-29 05:51:26.872 +0300,RF'Area03'OS24'RAHU03'RATEMP,18.64
2022-09-29 05:51:27.461 +0300,RF'Area02'OS21'RAHU02'RATEMP,29.98
2022-09-29 05:51:29.115 +0300,RF'Area04'OS26'RAHU05'RATEMP,19.539999
2022-09-29 05:51:30.762 +0300,RF'Area08'OS28'RAHU10'RATEMP,32.32
2022-09-29 05:51:44.001 +0300,RF'Area03'OS25'RAHU06'RATEMP,32.559998
2022-09-29 05:51:45.287 +0300,RF'Area02'OS23A'RAHU04'RATEMP,29.06
2022-09-29 05:51:55.944 +0300,RF'Area09'OS34'RAHU12'RATEMP,28.68
2022-09-29 05:51:57.550 +0300,RF'Area05'OS36'RAHU13'RATEMP,28.92
2022-09-29 05:52:32.706 +0300,RF'Area07'OS31'RAHU23'RATEMP,25.84
2022-09-29 05:52:35.221 +0300,RF'Area02'OS22'RAHU15'RATEMP,29.199999
2022-09-29 05:52:35.952 +0300,RF'Area08'OS27'RAHU22'RATEMP,24.48
2022-09-29 05:52:36.683 +0300,RF'Area09'OS30'RAHU25'RATEMP,26.76
2022-09-29 05:52:37.037 +0300,RF'Area07'OS29'RAHU21'RATEMP,30.699999
2022-09-29 05:52:40.865 +0300,RF'Area03'OS24'RAHU17'RATEMP,27.66
2022-09-29 05:52:41.636 +0300,RF'Area02'OS21'RAHU16'RATEMP,27.859999
2022-09-29 05:52:42.740 +0300,RF'Area04'OS26'RAHU19'RATEMP,28.32
2022-09-29 05:52:58.295 +0300,RF'Area03'OS25'RAHU20'RATEMP,0.0
2022-09-29 05:52:58.855 +0300,RF'Area02'OS23A'RAHU18'RATEMP,28.08
2022-09-29 05:52:59.280 +0300,RF'Area08'OS28'RAHU24'RATEMP,28.779999
2022-09-29 05:53:09.462 +0300,RF'Area05'OS36'RAHU27'RATEMP,26.359999
2022-09-29 05:53:10.020 +0300,RF'Area09'OS34A'RAHU26'RATEMP,25.58
2022-09-29 07:18:49.613 +0300,RF'Area07'OS31'RAHU09'RATEMP,30.039999
2022-09-29 07:18:49.796 +0300,RF'Area11'OS37'RAHU14'RATEMP,31.099998
2022-09-29 07:18:50.775 +0300,RF'Area08'OS27'RAHU08'RATEMP,25.9
2022-09-29 07:18:51.472 +0300,RF'Area10'OS32'RAHU28'RATEMP,29.619999
2022-09-29 07:18:52.167 +0300,RF'Area09'OS30'RAHU11'RATEMP,20.02
2022-09-29 07:18:53.152 +0300,RF'Area02'OS22'RAHU01'RATEMP,31.46
2022-09-29 07:18:53.710 +0300,RF'Area07'OS29'RAHU07'RATEMP,32.3
2022-09-29 07:18:57.173 +0300,RF'Area03'OS24'RAHU03'RATEMP,18.5
2022-09-29 07:18:57.190 +0300,RF'Area02'OS21'RAHU02'RATEMP,30.099998
2022-09-29 07:18:58.005 +0300,RF'Area04'OS26'RAHU05'RATEMP,19.32
2022-09-29 07:18:59.449 +0300,RF'Area08'OS28'RAHU10'RATEMP,32.239998
2022-09-29 07:19:12.878 +0300,RF'Area03'OS25'RAHU06'RATEMP,32.68
2022-09-29 07:19:14.149 +0300,RF'Area02'OS23A'RAHU04'RATEMP,29.599998
2022-09-29 07:19:24.840 +0300,RF'Area09'OS34'RAHU12'RATEMP,28.24
2022-09-29 07:19:26.310 +0300,RF'Area05'OS36'RAHU13'RATEMP,30.199999
2022-09-29 07:20:01.689 +0300,RF'Area07'OS31'RAHU23'RATEMP,26.32
2022-09-29 07:20:04.212 +0300,RF'Area02'OS22'RAHU15'RATEMP,28.9
2022-09-29 07:20:04.757 +0300,RF'Area08'OS27'RAHU22'RATEMP,24.48
2022-09-29 07:20:05.673 +0300,RF'Area09'OS30'RAHU25'RATEMP,26.98
2022-09-29 07:20:06.038 +0300,RF'Area07'OS29'RAHU21'RATEMP,30.98
2022-09-29 07:20:10.129 +0300,RF'Area03'OS24'RAHU17'RATEMP,27.84
2022-09-29 07:20:10.971 +0300,RF'Area02'OS21'RAHU16'RATEMP,27.98
2022-09-29 07:20:12.071 +0300,RF'Area04'OS26'RAHU19'RATEMP,28.42
2022-09-29 07:20:27.687 +0300,RF'Area03'OS25'RAHU20'RATEMP,0.0
2022-09-29 07:20:28.247 +0300,RF'Area02'OS23A'RAHU18'RATEMP,28.3
2022-09-29 07:20:28.682 +0300,RF'Area08'OS28'RAHU24'RATEMP,28.779999
2022-09-29 07:20:38.508 +0300,RF'Area05'OS36'RAHU27'RATEMP,26.56
2022-09-29 07:20:39.074 +0300,RF'Area09'OS34A'RAHU26'RATEMP,25.38
2022-09-29 08:46:22.207 +0300,RF'Area07'OS31'RAHU09'RATEMP,30.16
2022-09-29 08:46:22.404 +0300,RF'Area11'OS37'RAHU14'RATEMP,31.019999
2022-09-29 08:46:23.421 +0300,RF'Area08'OS27'RAHU08'RATEMP,25.92
2022-09-29 08:46:24.107 +0300,RF'Area10'OS32'RAHU28'RATEMP,29.859999
