"created_at","device_prop_name","property_value"
2022-09-29 04:23:13.104 +0300,RF'Area06'OS33'AHUMRF04'RAT,22
2022-09-29 04:23:13.706 +0300,FFGF'Area04'OS05'AHUMGZ01'RAT,30
2022-09-29 04:23:14.397 +0300,FFGF'Area10'OS13'AHUMGZ01D'RAT,19
2022-09-29 04:23:15.354 +0300,FFGF'Area04'OS06'AHUGZ01'RAT,26
2022-09-29 04:23:16.465 +0300,FFGF'Area10'OS11'AHUMGZ01'RAT,16
2022-09-29 04:23:17.434 +0300,RF'Area09'OS34'AHUMRF02'RAT,19
2022-09-29 04:23:37.594 +0300,LG'Area01'OS01'AHUMB02'RAT,21
2022-09-29 05:50:36.621 +0300,RF'Area06'OS33'AHUMRF04'RAT,22
2022-09-29 05:50:37.166 +0300,FFGF'Area04'OS05'AHUMGZ01'RAT,30
2022-09-29 05:50:37.954 +0300,FFGF'Area10'OS13'AHUMGZ01D'RAT,19
2022-09-29 05:50:38.916 +0300,FFGF'Area04'OS06'AHUGZ01'RAT,26
2022-09-29 05:50:39.994 +0300,FFGF'Area10'OS11'AHUMGZ01'RAT,16
2022-09-29 05:50:40.923 +0300,RF'Area09'OS34'AHUMRF02'RAT,19
2022-09-29 05:51:01.126 +0300,LG'Area01'OS01'AHUMB02'RAT,21
2022-09-29 07:18:02.601 +0300,RF'Area06'OS33'AHUMRF04'RAT,23
2022-09-29 07:18:03.146 +0300,FFGF'Area04'OS05'AHUMGZ01'RAT,30
2022-09-29 07:18:03.941 +0300,FFGF'Area10'OS13'AHUMGZ01D'RAT,19
2022-09-29 07:18:04.888 +0300,FFGF'Area04'OS06'AHUGZ01'RAT,26
2022-09-29 07:18:06.010 +0300,FFGF'Area10'OS11'AHUMGZ01'RAT,16
2022-09-29 07:18:06.929 +0300,RF'Area09'OS34'AHUMRF02'RAT,19
2022-09-29 07:18:26.549 +0300,LG'Area01'OS01'AHUMB02'RAT,21
2022-09-29 08:45:35.189 +0300,RF'Area06'OS33'AHUMRF04'RAT,23
2022-09-29 08:45:35.723 +0300,FFGF'Area04'OS05'AHUMGZ01'RAT,30
2022-09-29 08:45:36.463 +0300,FFGF'Area10'OS13'AHUMGZ01D'RAT,20
2022-09-29 08:45:37.451 +0300,FFGF'Area04'OS06'AHUGZ01'RAT,26
2022-09-29 08:45:38.584 +0300,FFGF'Area10'OS11'AHUMGZ01'RAT,16
2022-09-29 08:45:39.527 +0300,RF'Area09'OS34'AHUMRF02'RAT,19
2022-09-29 08:45:59.345 +0300,LG'Area01'OS01'AHUMB02'RAT,21
2022-09-29 10:13:02.156 +0300,RF'Area06'OS33'AHUMRF04'RAT,23
2022-09-29 10:13:02.691 +0300,FFGF'Area04'OS05'AHUMGZ01'RAT,30
2022-09-29 10:13:03.400 +0300,FFGF'Area10'OS13'AHUMGZ01D'RAT,20
2022-09-29 10:13:04.311 +0300,FFGF'Area04'OS06'AHUGZ01'RAT,26
2022-09-29 10:13:05.445 +0300,FFGF'Area10'OS11'AHUMGZ01'RAT,16
2022-09-29 10:13:06.386 +0300,RF'Area09'OS34'AHUMRF02'RAT,20
2022-09-29 10:13:26.440 +0300,LG'Area01'OS01'AHUMB02'RAT,21
2022-09-29 11:40:33.013 +0300,RF'Area06'OS33'AHUMRF04'RAT,22
2022-09-29 11:40:33.571 +0300,FFGF'Area04'OS05'AHUMGZ01'RAT,30
2022-09-29 11:40:34.292 +0300,FFGF'Area10'OS13'AHUMGZ01D'RAT,19
2022-09-29 11:40:35.216 +0300,FFGF'Area04'OS06'AHUGZ01'RAT,27
2022-09-29 11:40:36.328 +0300,FFGF'Area10'OS11'AHUMGZ01'RAT,16
2022-09-29 11:40:37.229 +0300,RF'Area09'OS34'AHUMRF02'RAT,20
2022-09-29 11:40:56.982 +0300,LG'Area01'OS01'AHUMB02'RAT,21
2022-09-29 13:08:12.005 +0300,RF'Area06'OS33'AHUMRF04'RAT,23
2022-09-29 13:08:12.591 +0300,FFGF'Area04'OS05'AHUMGZ01'RAT,30
2022-09-29 13:08:13.298 +0300,FFGF'Area10'OS13'AHUMGZ01D'RAT,20
2022-09-29 13:08:14.330 +0300,FFGF'Area04'OS06'AHUGZ01'RAT,26
2022-09-29 13:08:15.441 +0300,FFGF'Area10'OS11'AHUMGZ01'RAT,16
2022-09-29 13:08:16.430 +0300,RF'Area09'OS34'AHUMRF02'RAT,23
2022-09-29 13:08:36.816 +0300,LG'Area01'OS01'AHUMB02'RAT,22
2022-09-29 14:35:31.005 +0300,RF'Area06'OS33'AHUMRF04'RAT,23
2022-09-29 14:35:31.536 +0300,FFGF'Area04'OS05'AHUMGZ01'RAT,30
2022-09-29 14:35:32.276 +0300,FFGF'Area10'OS13'AHUMGZ01D'RAT,19
2022-09-29 14:35:33.180 +0300,FFGF'Area04'OS06'AHUGZ01'RAT,27
2022-09-29 14:35:34.266 +0300,FFGF'Area10'OS11'AHUMGZ01'RAT,16
2022-09-29 14:35:35.222 +0300,RF'Area09'OS34'AHUMRF02'RAT,25
2022-09-29 14:35:54.538 +0300,LG'Area01'OS01'AHUMB02'RAT,22
2022-09-29 16:02:34.206 +0300,RF'Area06'OS33'AHUMRF04'RAT,23
2022-09-29 16:02:34.732 +0300,FFGF'Area04'OS05'AHUMGZ01'RAT,30
2022-09-29 16:02:35.525 +0300,FFGF'Area10'OS13'AHUMGZ01D'RAT,19
