"created_at","device_prop_name","property_value"
2022-09-29 04:23:17.629 +0300,RF'Area02'OS23'AHUMRF02'SAT,17
2022-09-29 04:23:18.404 +0300,RF'AREA01'OS19'AHUMRF011'SAT,28
2022-09-29 04:23:18.774 +0300,LG'Area01'OS01'AHUMB01'SAT,23
2022-09-29 04:23:20.655 +0300,RF'Area01'OS20'AHUMRF012'SAT,31
2022-09-29 04:23:22.592 +0300,RF'Area06'OS33'AHUMRF04'SAT,20
2022-09-29 04:23:22.957 +0300,FFGF'Area04'OS05'AHUMGZ01'SAT,12
2022-09-29 04:23:23.917 +0300,FFGF'Area10'OS13'AHUMGZ01D'SAT,14
2022-09-29 04:23:26.201 +0300,RF'Area09'OS34'AHUMRF02'SAT,16
2022-09-29 04:23:29.239 +0300,RF'Area05'OS36'AHUMRF03'SAT,12
2022-09-29 04:23:48.460 +0300,LG'Area01'OS01'AHUMB02'SAT,12
2022-09-29 04:24:06.855 +0300,RF'Area11'OS37'RAHU14'SAT,30
2022-09-29 04:24:07.897 +0300,RF'Area10'OS32'RAHU28'SAT,29
2022-09-29 04:24:08.795 +0300,RF'Area02'OS22'RAHU01'SAT,31
2022-09-29 04:24:09.328 +0300,RF'Area09'OS30'RAHU11'SAT,30
2022-09-29 04:24:09.889 +0300,RF'Area07'OS29'RAHU07'SAT,32
2022-09-29 04:24:12.921 +0300,RF'Area02'OS21'RAHU02'SAT,15
2022-09-29 04:24:14.393 +0300,RF'Area04'OS26'RAHU05'SAT,29
2022-09-29 04:24:16.237 +0300,RF'Area08'OS28'RAHU10'SAT,32
2022-09-29 04:24:29.702 +0300,RF'Area03'OS25'RAHU06'SAT,33
2022-09-29 04:24:31.133 +0300,RF'Area02'OS23A'RAHU04'SAT,28
2022-09-29 04:24:46.237 +0300,RF'Area09'OS34'RAHU12'SAT,29
2022-09-29 04:24:46.575 +0300,RF'Area05'OS36'RAHU13'SAT,30
2022-09-29 04:25:23.631 +0300,RF'Area02'OS22'RAHU15'SAT,26
2022-09-29 04:25:25.336 +0300,RF'Area09'OS30'RAHU25'SAT,16
2022-09-29 04:25:28.219 +0300,RF'Area07'OS29'RAHU21'SAT,30
2022-09-29 04:25:30.132 +0300,RF'Area02'OS21'RAHU16'SAT,17
2022-09-29 04:25:31.077 +0300,RF'Area04'OS26'RAHU19'SAT,16
2022-09-29 04:25:46.485 +0300,RF'Area03'OS25'RAHU20'SAT,9
2022-09-29 04:25:47.015 +0300,RF'Area02'OS23A'RAHU18'SAT,9
2022-09-29 04:25:47.217 +0300,RF'Area08'OS28'RAHU24'SAT,28
2022-09-29 04:25:57.841 +0300,RF'Area05'OS36'RAHU27'SAT,11
2022-09-29 04:26:00.048 +0300,RF'Area09'OS34A'RAHU26'SAT,23
2022-09-29 05:50:41.107 +0300,RF'Area02'OS23'AHUMRF02'SAT,17
2022-09-29 05:50:41.898 +0300,RF'AREA01'OS19'AHUMRF011'SAT,28
2022-09-29 05:50:42.378 +0300,LG'Area01'OS01'AHUMB01'SAT,25
2022-09-29 05:50:44.209 +0300,RF'Area01'OS20'AHUMRF012'SAT,30
2022-09-29 05:50:46.057 +0300,RF'Area06'OS33'AHUMRF04'SAT,20
2022-09-29 05:50:46.467 +0300,FFGF'Area04'OS05'AHUMGZ01'SAT,12
2022-09-29 05:50:47.442 +0300,FFGF'Area10'OS13'AHUMGZ01D'SAT,14
2022-09-29 05:50:49.705 +0300,RF'Area09'OS34'AHUMRF02'SAT,17
2022-09-29 05:50:52.862 +0300,RF'Area05'OS36'AHUMRF03'SAT,14
2022-09-29 05:51:11.924 +0300,LG'Area01'OS01'AHUMB02'SAT,12
2022-09-29 05:51:30.303 +0300,RF'Area11'OS37'RAHU14'SAT,30
2022-09-29 05:51:31.461 +0300,RF'Area10'OS32'RAHU28'SAT,29
2022-09-29 05:51:32.363 +0300,RF'Area02'OS22'RAHU01'SAT,31
2022-09-29 05:51:32.907 +0300,RF'Area09'OS30'RAHU11'SAT,29
2022-09-29 05:51:33.511 +0300,RF'Area07'OS29'RAHU07'SAT,31
2022-09-29 05:51:36.468 +0300,RF'Area02'OS21'RAHU02'SAT,15
2022-09-29 05:51:37.922 +0300,RF'Area04'OS26'RAHU05'SAT,29
2022-09-29 05:51:39.752 +0300,RF'Area08'OS28'RAHU10'SAT,32
2022-09-29 05:51:52.924 +0300,RF'Area03'OS25'RAHU06'SAT,32
2022-09-29 05:51:54.410 +0300,RF'Area02'OS23A'RAHU04'SAT,27
2022-09-29 05:52:04.758 +0300,RF'Area09'OS34'RAHU12'SAT,29
2022-09-29 05:52:06.810 +0300,RF'Area05'OS36'RAHU13'SAT,30
2022-09-29 05:52:44.232 +0300,RF'Area02'OS22'RAHU15'SAT,27
2022-09-29 05:52:45.850 +0300,RF'Area09'OS30'RAHU25'SAT,17
2022-09-29 05:52:48.668 +0300,RF'Area07'OS29'RAHU21'SAT,29
2022-09-29 05:52:50.604 +0300,RF'Area02'OS21'RAHU16'SAT,18
2022-09-29 05:52:51.562 +0300,RF'Area04'OS26'RAHU19'SAT,16
2022-09-29 05:53:07.354 +0300,RF'Area03'OS25'RAHU20'SAT,9
2022-09-29 05:53:07.948 +0300,RF'Area02'OS23A'RAHU18'SAT,9
2022-09-29 05:53:08.133 +0300,RF'Area08'OS28'RAHU24'SAT,28
2022-09-29 05:53:18.582 +0300,RF'Area05'OS36'RAHU27'SAT,19
2022-09-29 05:53:20.854 +0300,RF'Area09'OS34A'RAHU26'SAT,13
2022-09-29 07:18:07.124 +0300,RF'Area02'OS23'AHUMRF02'SAT,17
2022-09-29 07:18:07.879 +0300,RF'AREA01'OS19'AHUMRF011'SAT,28
2022-09-29 07:18:08.299 +0300,LG'Area01'OS01'AHUMB01'SAT,26
2022-09-29 07:18:10.125 +0300,RF'Area01'OS20'AHUMRF012'SAT,30
2022-09-29 07:18:12.019 +0300,RF'Area06'OS33'AHUMRF04'SAT,20
2022-09-29 07:18:12.375 +0300,FFGF'Area04'OS05'AHUMGZ01'SAT,12
2022-09-29 07:18:13.748 +0300,FFGF'Area10'OS13'AHUMGZ01D'SAT,14
2022-09-29 07:18:15.550 +0300,RF'Area09'OS34'AHUMRF02'SAT,14
2022-09-29 07:18:18.461 +0300,RF'Area05'OS36'AHUMRF03'SAT,14
2022-09-29 07:18:37.561 +0300,LG'Area01'OS01'AHUMB02'SAT,12
2022-09-29 07:18:59.076 +0300,RF'Area11'OS37'RAHU14'SAT,30
2022-09-29 07:19:00.208 +0300,RF'Area10'OS32'RAHU28'SAT,29
2022-09-29 07:19:01.145 +0300,RF'Area02'OS22'RAHU01'SAT,31
2022-09-29 07:19:01.729 +0300,RF'Area09'OS30'RAHU11'SAT,29
2022-09-29 07:19:02.306 +0300,RF'Area07'OS29'RAHU07'SAT,32
2022-09-29 07:19:05.288 +0300,RF'Area02'OS21'RAHU02'SAT,15
2022-09-29 07:19:06.774 +0300,RF'Area04'OS26'RAHU05'SAT,29
2022-09-29 07:19:08.648 +0300,RF'Area08'OS28'RAHU10'SAT,32
2022-09-29 07:19:21.842 +0300,RF'Area03'OS25'RAHU06'SAT,32
2022-09-29 07:19:23.327 +0300,RF'Area02'OS23A'RAHU04'SAT,27
2022-09-29 07:19:33.785 +0300,RF'Area09'OS34'RAHU12'SAT,29
2022-09-29 07:19:35.989 +0300,RF'Area05'OS36'RAHU13'SAT,30
2022-09-29 07:20:13.554 +0300,RF'Area02'OS22'RAHU15'SAT,28
2022-09-29 07:20:15.192 +0300,RF'Area09'OS30'RAHU25'SAT,17
2022-09-29 07:20:17.928 +0300,RF'Area07'OS29'RAHU21'SAT,30
2022-09-29 07:20:19.743 +0300,RF'Area02'OS21'RAHU16'SAT,18
2022-09-29 07:20:20.740 +0300,RF'Area04'OS26'RAHU19'SAT,17
2022-09-29 07:20:36.385 +0300,RF'Area03'OS25'RAHU20'SAT,9
2022-09-29 07:20:36.895 +0300,RF'Area02'OS23A'RAHU18'SAT,10
2022-09-29 07:20:37.177 +0300,RF'Area08'OS28'RAHU24'SAT,29
2022-09-29 07:20:47.518 +0300,RF'Area05'OS36'RAHU27'SAT,15
2022-09-29 07:20:49.802 +0300,RF'Area09'OS34A'RAHU26'SAT,13
